Ref;Evento;Organizador;Nombre;Sigla;Ciudad;Pais;FechaInicio;FechaFin;FechaAlta
EDEV01;EV03;US06;Montevideo Rock 2025;MONROCK25;Montevideo;Uruguay;20/11/2025;22/11/2025;12/03/2025
EDEV02;EV04;US06;Maratón de Montevideo 2025;MARATON25;Montevideo;Uruguay;14/09/2025;14/09/2025;05/02/2025
EDEV03;EV04;US06;Maratón de Montevideo 2024;MARATON24;Montevideo;Uruguay;14/09/2024;14/09/2024;21/04/2024
EDEV04;EV04;US06;Maratón de Montevideo 2022;MARATON22;Montevideo;Uruguay;14/09/2022;14/09/2022;21/05/2022
EDEV05;EV05;US04;Montevideo Comics 2024;COMICS24;Montevideo;Uruguay;18/07/2024;21/07/2024;20/06/2024
EDEV06;EV05;US04;Montevideo Comics 2025;COMICS25;Montevideo;Uruguay;04/08/2025;06/08/2025;04/07/2025
EDEV07;EV06;US04;Expointer Uruguay 2025;EXPOAGRO25;Durazno;Uruguay;11/09/2025;17/09/2025;01/02/2025
EDEV08;EV01;US10;Tecnología Punta del Este 2026;CONFTECH26;Punta del Este;Uruguay;06/04/2026;10/04/2026;01/08/2025
EDEV09;EV01;US05;Mobile World Congress 2025;MWC;Barcelona;España;12/12/2025;15/12/2025;21/08/2025
EDEV10;EV01;US05;Web Summit 2026;WS26;Lisboa;Portugal;13/01/2026;01/02/2026;04/06/2025
